company,language,Repositories_count
TBODA Pty Ltd,TypeScript,4
Facebook,Go,4
@ThoughtWorksInc,Perl,4
@ThoughtWorksInc,HCL,4
One Red Dog Media Pty Ltd,C++,4
211.90 Consulting LLC,Ruby,4
glomper.com,Ruby,4
Facebook,C++,4
gutocarvalho.net,Puppet,4
Fitbit,VimL,4
Fitbit,HTML,4
Facebook,Objective-C,4
Facebook,Shell,4
Fitbit,Emacs Lisp,4
Modyo,Shell,4
One Red Dog Media Pty Ltd,Python,4
Student,Python,4
http://gle.solar,Python,4
meliuz,PHP,4
@ThoughtWorksInc,JavaScript,4
One Red Dog Media Pty Ltd,C,4
"Ustream, Inc.",Rust,4
Vide Infra Group,PHP,4
Escenic,Java,4
Subito.it,Objective-C,4
Fruition Sciences,JavaScript,4
Stripe,Go,4
@ThoughtWorksInc,Shell,4
BuilderTREND,Ruby,4
Stripe,Ruby,4
"Ustream, Inc.",Ruby,4
BuilderTREND,Objective-C,4
"Ustream, Inc.",Python,4
University of Stavanger,R,4
BaristaVentures,Clojure,4
383project,JavaScript,4
Wyndow,Puppet,3
Xiamen YouJia Limited Company,ActionScript,3
Wyndow,JavaScript,3
Ars Machina Tecnologia da Informação Ltda.,JavaScript,3
Alliants,Shell,3
Mylittlejob GmbH,JavaScript,3
Sands Consulting Sdn. Bhd.,Python,3
Individual,C#,3
W+K,VimL,3
Vyndyco Corporation,ColdFusion,3
Basho Technologies,Python,3
W+K,Python,3
W+K,Objective-C,3
W+K,CSS,3
Mutual Mobile,PHP,3
Vyndyco Corporation,PHP,3
Intelligent and Interactive Systems,Python,3
Xiamen YouJia Limited Company,C,3
Kafoodle,Ruby,3
Ajfek Software,Objective-C,3
devCrowd GmbH,F#,3
@imin-ltd,Ruby,3
Kushview,Python,3
@imin-ltd,JavaScript,3
@imin-ltd,HTML,3
@financeit ,Shell,3
"Rakuten, Inc.",JavaScript,3
@financeit ,Ruby,3
@financeit ,Puppet,3
@financeit ,Lua,3
@financeit ,Groovy,3
Opal Labs,CSS,3
@Teradata ,PHP,3
gutocarvalho.net,Ruby,3
Online Media,JavaScript,3
http://gle.solar,C#,3
@sensiolabs SensioLabs,JavaScript,3
depop,Python,3
Japan,Python,3
depop,C,3
Jinlabs Ltd,CSS,3
Jinlabs Ltd,Java,3
Jinlabs Ltd,VimL,3
Jobber,JavaScript,3
Xiamen YouJia Limited Company,Java,3
Xiamen YouJia Limited Company,JavaScript,3
Reducify,JavaScript,3
Kafoodle,HTML,3
Yagni Technologies,CSS,3
Basho Technologies,Shell,3
Kafoodle,TypeScript,3
Yagni Technologies,Elixir,3
Yagni Technologies,HTML,3
Yagni Technologies,JavaScript,3
@vinted ,JavaScript,3
Sands Consulting Sdn. Bhd.,Shell,3
"StoneDonut, LLC.",C#,3
Basho Technologies,VimL,3
Escenic,Shell,3
Google,C,3
Sugoi Software,Objective-C,3
Systemsmiths,JavaScript,3
THEMWEBS,C#,3
Google,Objective-C,3
Tam Tam,JavaScript,3
Machine Doing,C,3
Google,Shell,3
Tascent,Haskell,3
Tascent,TeX,3
EF Education First,HTML,3
The Code Venture,Shell,3
The Guardian,HTML,3
University of Szeged,QML,3
DigitalH2O,Shell,3
Democracy for America,JavaScript,3
The.Berlin.Factor,Ruby,3
Mac Flow,CSS,3
HPE,JavaScript,3
Skyscanner,Python,3
Espians,CSS,3
"Pamiris, Inc.",Python,3
Espians,HTML,3
G-mode,Python,3
Financial Times,Shell,3
Financial Times,Ruby,3
Financial Times,CoffeeScript,3
SonOfTwins,JavaScript,3
Genius,Ruby,3
Gestour SAS,JavaScript,3
Gestour SAS,PHP,3
Solairis Industries,JavaScript,3
"Expedia, Inc.",Scala,3
Solairis Industries,HTML,3
Solairis Industries,Clojure,3
Espians,Shell,3
Espians,Rust,3
Espians,Ruby,3
Espians,PHP,3
Espians,Objective-C,3
Espians,Java,3
Globo.com,JavaScript,3
Cronofy,JavaScript,3
Inbank Technologies,Shell,3
Umbo CV,Lua,3
Cirrus Machina,Java,3
UC Davis (MS student),HTML,3
Certified Symfony developer,Ruby,3
"StoneDonut, LLC.",Python,3
UC Davis (MS student),Matlab,3
UC Davis (MS student),OCaml,3
UC Davis (MS student),Prolog,3
UC Davis (MS student),Python,3
Coventry University,Python,3
Owl Unit,JavaScript,3
Carnegie Mellon University,Shell,3
Unboxed Consulting,Shell,3
Universal Solutions,Swift,3
"Pamiris, Inc.",Java,3
University of Michigan,C,3
University of Michigan,CSS,3
University of Michigan,Rust,3
University of Michigan,Go,3
UC Davis (MS student),Common Lisp,3
University of Pittsburgh,CSS,3
"Toppa Consulting, LLC",Shell,3
Clowns and Puppets,Java,3
Independent contractor,Dart,3
Silibrina,Python,3
University of Stavanger,Scala,3
Siemer for Hire,PowerShell,3
Coventry University,Objective-C,3
Coventry University,CSS,3
Shutterstock,Python,3
"Imagine Easy Solutions, LLC",JavaScript,3
Twitter,CSS,3
Schneider Electric DMS NS,C#,3
Shipito LLC,Shell,3
One Red Dog Media Pty Ltd,Ruby,2
Onefeat,Swift,2
Onefeat,JavaScript,2
REA Group,Groovy,2
Onefeat,Objective-C,2
Owl Unit,Java,2
Owl Unit,Emacs Lisp,2
Overture Games,C,2
One Red Dog Media Pty Ltd,Shell,2
Pivotal Software Inc.,Java,2
"Plecco Technologies, Inc.",JavaScript,2
P51 Software,Objective-C,2
Onefeat,C,2
"Opt-6 Products, LLC",C++,2
"Opt-6 Products, LLC",Shell,2
Pragmateam,ApacheConf,2
"Prolanceer, India",Java,2
OpenLearning Global Pty Ltd.,Swift,2
Paperpile,Java,2
OpenLearning Global Pty Ltd.,Python,2
OpenLearning Global Pty Ltd.,Objective-C++,2
Pragmateam,Shell,2
OpenLearning Global Pty Ltd.,Lua,2
REA Group,CoffeeScript,2
Pragmateam,Python,2
OpenLearning Global Pty Ltd.,CSS,2
"Opt-6 Products, LLC",JavaScript,2
Paperpile,Perl,2
Pragmateam,Pascal,2
Pragmateam,PHP,2
Pragmateam,HTML,2
REA Group,CSS,2
REA Group,Emacs Lisp,2
Pragmateam,VimL,2
121ecommerce,JavaScript,2
REA Group,Shell,2
RG Sistemas,HTML,2
YP Holdings,HTML,2
YP Holdings,Elixir,2
YP Holdings,CoffeeScript,2
YP Holdings,Clojure,2
Xiamen YouJia Limited Company,Objective-C,2
Xiamen YouJia Limited Company,Go,2
Wyndow,Ruby,2
Webpuppies Singapore,JavaScript,2
"Wade, LLC.",CSS,2
VisioBox,Python,2
Vide Infra Group,C++,2
Valu Digital Oy,Ruby,2
Valu Digital Oy,Lua,2
Valu Digital Oy,CoffeeScript,2
VMware,Ruby,2
"Ustream, Inc.",Shell,2
"Ustream, Inc.",Scala,2
"Ustream, Inc.",HTML,2
"Ustream, Inc.",CoffeeScript,2
"Ustream, Inc.",Clojure,2
"Ustream, Inc.",C++,2
"Ustream, Inc.",Assembly,2
"Ustream, Inc.",API Blueprint,2
University of Stavanger,HTML,2
